icao,airport_name,city,state,country,airport_link,source_url,raw_image,cleaned_image,status,error,crop_bbox
KHLN,Helena Regional,Helena,MT,USA,https://acukwik.com/Airport-Info/KHLN,https://acukwik.com/extimages/Listing-Images/KHLN.jpg,runway_diagrams/raw/KHLN.jpg,runway_diagrams/cleaned/KHLN.jpg,ok,,"0,0,575,500"
KHND,Henderson Executive,Las Vegas,NV,USA,https://acukwik.com/Airport-Info/KHND,https://acukwik.com/extimages/Listing-Images/KHND.jpg,runway_diagrams/raw/KHND.jpg,runway_diagrams/cleaned/KHND.jpg,ok,,"0,0,575,600"
KHOT,Memorial Field,Hot Springs,AR,USA,https://acukwik.com/Airport-Info/KHOT,https://acukwik.com/extimages/Listing-Images/KHOT.jpg,runway_diagrams/raw/KHOT.jpg,runway_diagrams/cleaned/KHOT.jpg,ok,,"0,0,575,500"
KHOU,William P Hobby,Houston,TX,USA,https://acukwik.com/Airport-Info/KHOU,https://acukwik.com/extimages/Listing-Images/KHOU.jpg,runway_diagrams/raw/KHOU.jpg,runway_diagrams/cleaned/KHOU.jpg,ok,,"0,0,575,750"
KHPN,Westchester County,White Plains,NY,USA,https://acukwik.com/Airport-Info/KHPN,https://acukwik.com/extimages/Listing-Images/KHPN.jpg,runway_diagrams/raw/KHPN.jpg,runway_diagrams/cleaned/KHPN.jpg,ok,,"0,0,575,675"
KHQU,Thomson-Mcduffie County,Thomson,GA,USA,https://acukwik.com/Airport-Info/KHQU,https://acukwik.com/extimages/Listing-Images/KHQU.jpg,runway_diagrams/raw/KHQU.jpg,runway_diagrams/cleaned/KHQU.jpg,ok,,"0,0,414,306"
KHRF,Ravalli County,Hamilton,MT,USA,https://acukwik.com/Airport-Info/KHRF,https://acukwik.com/extimages/Listing-Images/KHRF.jpg,runway_diagrams/raw/KHRF.jpg,runway_diagrams/cleaned/KHRF.jpg,ok,,"0,0,575,600"
KHRL,Valley International,Harlingen,TX,USA,https://acukwik.com/Airport-Info/KHRL,https://acukwik.com/extimages/Listing-Images/KHRL.jpg,runway_diagrams/raw/KHRL.jpg,runway_diagrams/cleaned/KHRL.jpg,ok,,"0,0,575,650"
KHRO,Boone County Regional,Harrison,AR,USA,https://acukwik.com/Airport-Info/KHRO,https://acukwik.com/extimages/Listing-Images/KHRO.jpg,runway_diagrams/raw/KHRO.jpg,runway_diagrams/cleaned/KHRO.jpg,ok,,"0,0,414,414"
KHSA,Stennis International,Bay St Louis,MS,USA,https://acukwik.com/Airport-Info/KHSA,https://acukwik.com/extimages/Listing-Images/KHSA.jpg,runway_diagrams/raw/KHSA.jpg,runway_diagrams/cleaned/KHSA.jpg,ok,,"0,0,575,550"
KHSV,Huntsville International/Carl T Jones Field,Huntsville,AL,USA,https://acukwik.com/Airport-Info/KHSV,https://acukwik.com/extimages/Listing-Images/KHSV.jpg,runway_diagrams/raw/KHSV.jpg,runway_diagrams/cleaned/KHSV.jpg,ok,,"0,0,414,468"
KHUM,Houma-Terrebonne,Houma,LA,USA,https://acukwik.com/Airport-Info/KHUM,https://acukwik.com/extimages/Listing-Images/KHUM.jpg,runway_diagrams/raw/KHUM.jpg,runway_diagrams/cleaned/KHUM.jpg,ok,,"0,0,414,432"
KHVN,Tweed/New Haven,New Haven,CT,USA,https://acukwik.com/Airport-Info/KHVN,https://acukwik.com/extimages/Listing-Images/KHVN.jpg,runway_diagrams/raw/KHVN.jpg,runway_diagrams/cleaned/KHVN.jpg,ok,,"0,0,575,550"
KHWD,Hayward Executive,Hayward,CA,USA,https://acukwik.com/Airport-Info/KHWD,https://acukwik.com/extimages/Listing-Images/KHWD.jpg,runway_diagrams/raw/KHWD.jpg,runway_diagrams/cleaned/KHWD.jpg,ok,,"0,0,1000,913"
KHXD,Hilton Head,Hilton Head Island,SC,USA,https://acukwik.com/Airport-Info/KHXD,https://acukwik.com/extimages/Listing-Images/KHXD.jpg,runway_diagrams/raw/KHXD.jpg,runway_diagrams/cleaned/KHXD.jpg,ok,,"0,0,414,432"
KHYA,Cape Cod Gateway,Hyannis,MA,USA,https://acukwik.com/Airport-Info/KHYA,https://acukwik.com/extimages/Listing-Images/KHYA.jpg,runway_diagrams/raw/KHYA.jpg,runway_diagrams/cleaned/KHYA.jpg,ok,,"0,0,575,550"
KIAD,Washington Dulles International,Washington,VA,USA,https://acukwik.com/Airport-Info/KIAD,https://acukwik.com/extimages/Listing-Images/KIAD.jpg,runway_diagrams/raw/KIAD.jpg,runway_diagrams/cleaned/KIAD.jpg,ok,,"0,0,1000,1043"
KIAH,George Bush Intercontinental Houston,Houston,TX,USA,https://acukwik.com/Airport-Info/KIAH,https://acukwik.com/extimages/Listing-Images/KIAH.jpg,runway_diagrams/raw/KIAH.jpg,runway_diagrams/cleaned/KIAH.jpg,ok,,"0,0,575,700"
KICT,Wichita Eisenhower National,Wichita,KS,USA,https://acukwik.com/Airport-Info/KICT,https://acukwik.com/extimages/Listing-Images/KICT.jpg,runway_diagrams/raw/KICT.jpg,runway_diagrams/cleaned/KICT.jpg,ok,,"0,0,575,600"
KIFP,Laughlin/Bullhead International,Bullhead City,AZ,USA,https://acukwik.com/Airport-Info/KIFP,https://acukwik.com/extimages/Listing-Images/KIFP.jpg,runway_diagrams/raw/KIFP.jpg,runway_diagrams/cleaned/KIFP.jpg,ok,,"0,0,414,468"
KILG,Wilmington/New Castle,Wilmington,DE,USA,https://acukwik.com/Airport-Info/KILG,https://acukwik.com/extimages/Listing-Images/KILG.jpg,runway_diagrams/raw/KILG.jpg,runway_diagrams/cleaned/KILG.jpg,ok,,"0,0,575,688"
KILM,Wilmington International,Wilmington,NC,USA,https://acukwik.com/Airport-Info/KILM,https://acukwik.com/extimages/Listing-Images/KILM.jpg,runway_diagrams/raw/KILM.jpg,runway_diagrams/cleaned/KILM.jpg,ok,,"0,0,414,396"
KIND,Indianapolis International,Indianapolis,IN,USA,https://acukwik.com/Airport-Info/KIND,https://acukwik.com/extimages/Listing-Images/KIND.jpg,runway_diagrams/raw/KIND.jpg,runway_diagrams/cleaned/KIND.jpg,ok,,"0,0,575,575"
KINL,Falls International/Einarson Field,International Falls,MN,USA,https://acukwik.com/Airport-Info/KINL,https://acukwik.com/extimages/Listing-Images/KINL.jpg,runway_diagrams/raw/KINL.jpg,runway_diagrams/cleaned/KINL.jpg,ok,,"0,0,575,550"
KINT,Smith Reynolds,Winston Salem,NC,USA,https://acukwik.com/Airport-Info/KINT,https://acukwik.com/extimages/Listing-Images/KINT.jpg,runway_diagrams/raw/KINT.jpg,runway_diagrams/cleaned/KINT.jpg,ok,,"0,0,414,504"
KINW,Winslow-Lindbergh Regional,Winslow,AZ,USA,https://acukwik.com/Airport-Info/KINW,https://acukwik.com/extimages/Listing-Images/KINW.jpg,runway_diagrams/raw/KINW.jpg,runway_diagrams/cleaned/KINW.jpg,ok,,"0,0,414,306"
KIPT,Williamsport Regional,Williamsport,PA,USA,https://acukwik.com/Airport-Info/KIPT,https://acukwik.com/extimages/Listing-Images/KIPT.jpg,runway_diagrams/raw/KIPT.jpg,runway_diagrams/cleaned/KIPT.jpg,ok,,"0,0,414,306"
KISM,Kissimmee Gateway,Orlando,FL,USA,https://acukwik.com/Airport-Info/KISM,https://acukwik.com/extimages/Listing-Images/KISM.jpg,runway_diagrams/raw/KISM.jpg,runway_diagrams/cleaned/KISM.jpg,ok,,"0,0,1000,1043"
KISP,Long Island MacArthur,Islip,NY,USA,https://acukwik.com/Airport-Info/KISP,https://acukwik.com/extimages/Listing-Images/KISP.jpg,runway_diagrams/raw/KISP.jpg,runway_diagrams/cleaned/KISP.jpg,ok,,"0,0,414,379"
KIXD,New Century Aircenter,Olathe,KS,USA,https://acukwik.com/Airport-Info/KIXD,https://acukwik.com/extimages/Listing-Images/KIXD.jpg,runway_diagrams/raw/KIXD.jpg,runway_diagrams/cleaned/KIXD.jpg,ok,,"0,0,414,396"
KJAC,Jackson Hole,Jackson,WY,USA,https://acukwik.com/Airport-Info/KJAC,https://acukwik.com/extimages/Listing-Images/KJAC.jpg,runway_diagrams/raw/KJAC.jpg,runway_diagrams/cleaned/KJAC.jpg,ok,,"0,0,575,650"
