ICAO,Airport Name,City,State,Country,Airport Link
LCLK,Larnaka International,Larnaca, ,CYPRUS,https://acukwik.com/Airport-Info/LCLK
LCRA,Limassol RAF Akrotiri (Mil),Limassol, ,CYPRUS,https://acukwik.com/Airport-Info/LCRA
LCPH,Paphos International (Pafos),Paphos, ,CYPRUS,https://acukwik.com/Airport-Info/LCPH
