ICAO,Airport Name,City,State,Country,Airport Link
NSFQ,Tau Island/Fitiuta,Tau Island, ,AMERICAN SAMOA,https://acukwik.com/Airport-Info/NSFQ
NSTU,Pago Pago International,Tutuila Island, ,AMERICAN SAMOA,https://acukwik.com/Airport-Info/NSTU
