ICAO,Airport Name,City,State,Country,Airport Link
MZBZ,Belize City/Philip S W Goldson International,Belize City,BZ ,BELIZE,https://acukwik.com/Airport-Info/MZBZ
MZSP,San Pedro/John Greiff II,San Pedro,BZ ,BELIZE,https://acukwik.com/Airport-Info/MZSP
